#         I (A)           V (V)
 1.68383838e-06  1.67717000e-02
 1.63434343e-06  1.62728200e-02
 1.58484848e-06  1.57750300e-02
 1.53535354e-06  1.53754800e-02
 1.48585859e-06  1.48756800e-02
 1.43636364e-06  1.43779400e-02
 1.38686869e-06  1.38778900e-02
 1.33737374e-06  1.33781300e-02
 1.28787879e-06  1.28795100e-02
 1.23838384e-06  1.23799600e-02
 1.18888889e-06  1.18804300e-02
 1.13939394e-06  1.13830200e-02
 1.08989899e-06  1.08828800e-02
 1.04040404e-06  1.03890300e-02
 9.90909091e-07  9.88810700e-03
 9.41414141e-07  9.38915300e-03
 8.91919192e-07  8.89018600e-03
 8.42424242e-07  8.39151200e-03
 7.92929293e-07  7.89203400e-03
 7.43434343e-07  7.39345500e-03
 6.93939394e-07  6.89360200e-03
 6.44444444e-07  6.39477700e-03
 5.94949495e-07  5.89522000e-03
 5.45454545e-07  5.49613100e-03
 4.95959596e-07  4.99658900e-03
 4.46464646e-07  4.49707700e-03
 3.96969697e-07  3.99771700e-03
 3.47474747e-07  3.49910800e-03
 2.97979798e-07  2.99981900e-03
 2.48484848e-07  2.50076700e-03
 1.98989899e-07  2.00144200e-03
 1.49494949e-07  1.50188200e-03
 1.00000000e-07  1.00472100e-03
