#         I (A)           V (V)
 1.00000000e-07  1.00499300e-03
 1.49494949e-07  1.50066400e-03
 1.98989899e-07  1.99984900e-03
 2.48484848e-07  2.50074800e-03
 2.97979798e-07  2.99957900e-03
 3.47474747e-07  3.50004300e-03
 3.96969697e-07  3.99876000e-03
 4.46464646e-07  4.49830700e-03
 4.95959596e-07  4.99723200e-03
 5.45454545e-07  5.49587300e-03
 5.94949495e-07  5.89557900e-03
 6.44444444e-07  6.39483600e-03
 6.93939394e-07  6.89395900e-03
 7.43434343e-07  7.39261700e-03
 7.92929293e-07  7.89248200e-03
 8.42424242e-07  8.39192300e-03
 8.91919192e-07  8.89172700e-03
 9.41414141e-07  9.39013300e-03
 9.90909091e-07  9.88932800e-03
 1.04040404e-06  1.03882000e-02
 1.08989899e-06  1.08820200e-02
 1.13939394e-06  1.13814200e-02
 1.18888889e-06  1.18797300e-02
 1.23838384e-06  1.23794300e-02
 1.28787879e-06  1.28794200e-02
 1.33737374e-06  1.33774100e-02
 1.38686869e-06  1.38764000e-02
 1.43636364e-06  1.43764500e-02
 1.48585859e-06  1.48744800e-02
 1.53535354e-06  1.53742600e-02
 1.58484848e-06  1.57742400e-02
 1.63434343e-06  1.62731000e-02
 1.68383838e-06  1.67718600e-02
 1.73333333e-06  1.72716300e-02
 1.78282828e-06  1.77695300e-02
 1.83232323e-06  1.82694700e-02
 1.88181818e-06  1.87688700e-02
 1.93131313e-06  1.92669700e-02
 1.98080808e-06  1.97664200e-02
 2.03030303e-06  2.02640100e-02
 2.07979798e-06  2.07568300e-02
 2.12929293e-06  2.12566600e-02
 2.17878788e-06  2.17558200e-02
 2.22828283e-06  2.22558800e-02
 2.27777778e-06  2.27564000e-02
 2.32727273e-06  2.32535100e-02
 2.37676768e-06  2.37526500e-02
 2.42626263e-06  2.42523700e-02
 2.47575758e-06  2.47503900e-02
 2.52525253e-06  2.52515800e-02
 2.57474747e-06  2.56508400e-02
 2.62424242e-06  2.61488700e-02
 2.67373737e-06  2.66486900e-02
 2.72323232e-06  2.71481800e-02
 2.77272727e-06  2.76458600e-02
 2.82222222e-06  2.81453200e-02
 2.87171717e-06  2.86455200e-02
 2.92121212e-06  2.91432900e-02
 2.97070707e-06  2.96426600e-02
 3.02020202e-06  3.01405800e-02
 3.06969697e-06  3.06414300e-02
 3.11919192e-06  3.11408200e-02
 3.16868687e-06  3.16384700e-02
 3.21818182e-06  3.21389900e-02
 3.26767677e-06  3.26383700e-02
 3.31717172e-06  3.31363900e-02
 3.36666667e-06  3.36367900e-02
 3.41616162e-06  3.41366100e-02
 3.46565657e-06  3.46347400e-02
 3.51515152e-06  3.51335500e-02
 3.56464646e-06  3.55321400e-02
 3.61414141e-06  3.60310500e-02
 3.66363636e-06  3.65318000e-02
 3.71313131e-06  3.70311900e-02
 3.76262626e-06  3.75281800e-02
 3.81212121e-06  3.80289300e-02
 3.86161616e-06  3.85284900e-02
 3.91111111e-06  3.90261800e-02
 3.96060606e-06  3.95255800e-02
 4.01010101e-06  4.00257100e-02
 4.05959596e-06  4.05238500e-02
 4.10909091e-06  4.10225400e-02
 4.15858586e-06  4.15206700e-02
 4.20808081e-06  4.20213000e-02
 4.25757576e-06  4.25202100e-02
 4.30707071e-06  4.30183400e-02
 4.35656566e-06  4.35172600e-02
 4.40606061e-06  4.40181100e-02
 4.45555556e-06  4.45160100e-02
 4.50505051e-06  4.50165300e-02
 4.55454545e-06  4.54147700e-02
 4.60404040e-06  4.59125700e-02
 4.65353535e-06  4.64136500e-02
 4.70303030e-06  4.69133700e-02
 4.75252525e-06  4.74103500e-02
 4.80202020e-06  4.79109500e-02
 4.85151515e-06  4.84111200e-02
 4.90101010e-06  4.89091500e-02
 4.95050505e-06  4.94092100e-02
 5.00000000e-06  4.99090600e-02
